E_demon;T;<m>;slope
0;0;1;0
8;0;0.998686;0
16;0.993359;0.997359;-1.00669
24;1.03315;0.996007;-0.967915
32;1.08213;0.994604;-0.924107
40;1.17363;0.993232;-0.852061
48;1.2196;0.991748;-0.81994
56;1.36199;0.990214;-0.734217
64;1.38316;0.988741;-0.722981
72;1.42737;0.987228;-0.700588
80;1.49784;0.985623;-0.667628
88;1.52798;0.984048;-0.654459
96;1.57359;0.982525;-0.63549
104;1.58284;0.980932;-0.631777
112;1.64247;0.979259;-0.608838
120;1.66716;0.977614;-0.599821
128;1.63552;0.975999;-0.611426
136;1.60067;0.974252;-0.62474
144;1.71984;0.972609;-0.58145
152;1.69893;0.971075;-0.588605
160;1.69151;0.969352;-0.591186
168;1.68578;0.967523;-0.593197
176;1.70333;0.965849;-0.587084
184;1.77825;0.964039;-0.562352
192;1.7875;0.962213;-0.559441
200;1.75438;0.960443;-0.570003
208;1.79014;0.958623;-0.558617
216;1.81017;0.956771;-0.552436
224;1.816;0.955103;-0.55066
232;1.86696;0.953036;-0.535631
240;1.84532;0.951209;-0.541911
248;1.83289;0.949333;-0.545585
256;1.86011;0.94713;-0.537602
264;1.89126;0.945476;-0.528748
272;1.9209;0.943501;-0.520589
280;1.93384;0.941099;-0.517106
288;1.89802;0.939459;-0.526865
296;1.92695;0.937594;-0.518956
304;1.92317;0.935016;-0.519976
312;1.9422;0.933561;-0.514881
320;1.95729;0.930835;-0.510912
328;1.95462;0.92878;-0.511607
336;1.96968;0.926647;-0.507696
344;1.93307;0.924094;-0.517312
352;1.95602;0.922741;-0.511243
360;1.9726;0.920568;-0.506944
368;2.02094;0.918301;-0.49482
376;2.07907;0.915527;-0.480985
384;2.00805;0.913169;-0.497996
392;2.01229;0.910255;-0.496946
400;1.98643;0.908798;-0.503415
408;2.02027;0.905333;-0.494985
416;2.01023;0.90393;-0.497457
424;2.02721;0.900529;-0.493288
432;2.04544;0.899365;-0.488893
440;2.07573;0.897606;-0.481758
448;2.009;0.891508;-0.49776
456;2.10997;0.89261;-0.47394
464;2.03108;0.889133;-0.49235
472;2.08278;0.884922;-0.480127
480;2.0903;0.883045;-0.4784
488;2.07742;0.880413;-0.481366
496;2.07619;0.875965;-0.481652
504;2.13045;0.875386;-0.469385
512;2.0613;0.872847;-0.48513
520;2.10977;0.868305;-0.473985
528;2.1303;0.866562;-0.469418
536;2.10974;0.863026;-0.473993
544;2.1179;0.85946;-0.472167
552;2.15118;0.857344;-0.464862
560;2.1704;0.853367;-0.460745
568;2.15308;0.850374;-0.46445
576;2.18093;0.84711;-0.45852
584;2.16678;0.844557;-0.461514
592;2.14887;0.839871;-0.465362
600;2.18766;0.838747;-0.457109
608;2.16574;0.835853;-0.461737
616;2.16931;0.82731;-0.460977
624;2.16389;0.831838;-0.462131
632;2.11229;0.821616;-0.473419
640;2.15554;0.82054;-0.46392
648;2.21076;0.813975;-0.452333
656;2.17264;0.813745;-0.460269
664;2.18334;0.804051;-0.458013
672;2.20145;0.805121;-0.454245
680;2.20119;0.799867;-0.454299
688;2.20631;0.793476;-0.453246
696;2.22091;0.795602;-0.450265
704;2.26586;0.788812;-0.441333
712;2.2123;0.776258;-0.452019
720;2.21551;0.78236;-0.451362
728;2.23512;0.777539;-0.447404
736;2.19053;0.777143;-0.45651
744;2.2087;0.766436;-0.452754
752;2.24827;0.744538;-0.444787
760;2.23313;0.740002;-0.447803
768;2.19523;0.732875;-0.455534
776;2.21314;0.739606;-0.451848
784;2.23447;0.736961;-0.447533
